Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Amrali (38893),AMRALI ( 19744 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0
Arnauli (38919),ARNOULI ( 19745 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0
Badwali (38933),BADWALI ( 19755 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
Ballan (38901),BALLAN ( 19746 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Bamnara (38912),BAMNARA ( 19747 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0
Ban Majra (38951),BAN MAJRA ( 19748 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0
MATHERI (38952),BAN MAJRA ( 19748 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bangian (38920),BANGIAN ( 19749 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Behbalpur (38927),BEHBALPUR ( 19751 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0
Behdali (38946),BEHDALI ( 19752 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Bhagowal (38949),BHAGOWAL ( 19753 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boor Majra (38885),BOOR MAJRA ( 19756 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Boothgarh (38903),BOOTHGARH ( 19757 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
Rampur Mehrab (38923),BOOTHGARH ( 19757 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Chaklan (38750),CHAKLAN ( 19758 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
Chalaki (38928),CHALAKI ( 19759 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
Charheri (38950),CHARHERI ( 19760 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
AKBARPUR (38941),CHATAMLA ( 19761 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHATAMALA (38943),CHATAMLA ( 19761 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
CHUTAMALI (38944),CHATAMLI ( 19762 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
CHHOTA SAMANA (38889),CHHOTA SAMANA ( 19763 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0
Datarpur (38931),DATARPUR ( 19750 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
RAMBAGH (38930),DATARPUR ( 19750 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Dhanauri (38909),DHANAURI ( 19754 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0
Dhangrali (38914),DHANGRALI ( 19764 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
Dhianpura (38945),DHIANPURA ( 19765 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0
Dholan Majra (38921),DHOLAN MAJRA ( 19766 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Doom Chheri (38925),DOOM CHERI ( 19767 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,5,0,0,0,2,2,0,0,0,1,0
Dumna (38906),DUMNA ( 19768 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Fatehgarh (38907),FATEHGARH ( 19769 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
Gopalpur (38916),GOPALPUR ( 19770 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,4,0,0,0,2,0,0,0,0,1,0
Kainaur (38908),KAINOUR ( 19771 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0
Kajauli (38902),KAJOULI ( 19772 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
Kakrali (38911),KAKRALI ( 19773 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,8,0,0,0,0,4,1,0,0,0,0,0
Kalaran (38904),KALARAN ( 19774 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
KULHERI (38935),KALHERI ( 19775 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
Kanjla (38922),KANJLA ( 19776 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Khairpur (38913),KHAIRPUR ( 19777 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
Kotla (38917),KOTLA ( 19778 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Kotli (38900),KOTLI ( 19779 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0
Lutheri (38892),LUTHERI ( 19780 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,4,0,0,0,1,2,0,0,0,1,0
Majri (38894),MAJRI ( 19781 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
Man Kheri (38942),MANKHERI ( 19784 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BARI MANDAULI (38938),MARAULI KALAN ( 19782 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0
CHHOTI MANDAULI (38937),MARAULI KHURD ( 19783 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
MORINDA RURAL (38956),MORINDA RURAL ( 19785 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
Mundian (38905),MUNDIAN ( 19786 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
NATHWALPUR (38915),NATHMALPUR ( 19787 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0
Oind (38890),OIND ( 19788 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Paprali (38948),PAPRALI ( 19789 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
Ramgarh (38891),RAM GARH ( 19790 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,2,0,0,0,2,0,0,0,2,2,0,0,0,1,0
RAMGARH ALIAS MANDA (38936),RAMGARH MANDA ( 19791 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0
Rangian (38939),RANGIAN ( 19792 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0
Rasulpur (38887),RASULPUR ( 19793 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
Rattangarh (38934),RATTANGARH ( 19794 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
BARI RAUNI (38896),RAUNI KALAN ( 19795 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,1,0
CHHOTI RAUNI (38895),RAUNI KHURD ( 19796 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Saheri (38918),SAHERI ( 19797 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,1,0
SUKHO MAJRA (38929),SAKHO MAJRA ( 19798 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
BARA SAMANA (38888),SAMANA KALAN ( 19799 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0
Samrauli (38886),SAMRAULI ( 19800 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
SANGATPUR (38924),SANGATPUR ( 19801 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,2,0,0,0,1,1,0,0,0,1,0
Sarhana (38898),SARHANA ( 19802 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
Shahpur (38662),SHAHPUR ( 19803 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,
SOTAL (38910),SOTAL ( 19804 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Tajpura (38926),TAJPURA ( 19805 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Udhampur (38899),UDHAMPUR ( 19806 ),MORINDA ( 336 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
